등록번호,서명,저자,발행자,청구기호,ISBN
BN0000039188,(처음 만나는)식문화와 푸드 코디네이션 ,"이인선  , 김혜영(B)  , 최유진  , 김미란  , 김은경 [공]지음",교문사,594.9-이인선식,9788936325411 
BN0000039187,책과 도서관,윤희윤 지음,태일사,020.9-윤희윤책,9791187268697 
BN0000039186,좋은 의사 나쁜 의사 ,"Larry R. Churchill  , Joseph B. Fanning  , David Schenck지음  , 정영화  , 이경란 옮김",박영사,"510.4-처칠,좋",9791130318141 
BN0000039185,조경계획론 ,한국조경학회 편,문운당,525.91-한국조조,9791156926887 
BN0000039183,전자음악 아카이브,채진욱 지음,에스엠알씨,676.7-채진욱전,9791198139429 
BN0000039182,자바 알고리즘 인터뷰 with 코틀린,박상길 지음  ; 정진호 일러스트,책만,005.133-박상길자=c.2,9791189909550 
BN0000039172,(영상 분야의 딥러닝 활용을 중심으로)미디어 인공지능 ,박대민 지음,율곡,004.73-박대민미,9791191812695 
BN0000039171,뮤지컬의 탄생,고희경 지음,마인드빌딩,674.2-고희경뮤,9791192886343 
BN0000039167,디지털로 그리는 공간예술 ,"임수연  , 권양희 [공]지음",경북대학교출판부,600.13-임수연디,9788971806258 
BN0000039166,드라마를 읽는 세 가지 키워드,박명진 [외] 지음,박이정,687.09-박명진드,9791158489175 
BN0000039164,단독성들의 사회,안드레아스 레크비츠 지음  ; 윤재왕 옮김,새물결,331.544-레크비단,9788955594447 
BN0000039162,(누구나 쉽게 데이터를 분석하고 시각화시키는)Power BI ,"심흥섭  , 류인애  , 문재영 [공]지음",청람,005.76-심흥섭파,9788959729821 
BN0000039160,내가 내 이야기를 시작했을 때,김원 [외] 지음  ; 인천대학교 인문학연구소 엮음,후마니타스,"337.1-김원,내",9788964374436 
BN0000039159,내 코드가 그렇게 이상한가요?,센바 다이야 지음  ; 윤인성 옮김,인사이트,005.133-센바다내,9788966263998 
BN0000039158,난생처음 데이터 분석 with 파이썬,"김규석  , 김주희  , 이준 [공]지음",한빛아카데미,005.76-김규석난,9791156646723 
BN0000039153,공공디자인으로 안전만들기 = Safety by public design ,장주영 [외]지음,美세움,539.7-장주영공,9791188602766 
BN0000039152,건축의 눈으로 본 동아시아 영화의 미,최효식 지음,서해문집,688.09-최효식건,9791192988177 
BN0000039149,(Do it!)데이터 과학자를 위한 실전 머신러닝 = Do it! hands-on machine learning for data scientists ,배기웅 지음,이지스퍼블리싱,004.73-배기웅데=c.2,9791163034964 
BN0000029997,해적에 관한 불편한 진실 ,박성욱 지음,지성사,454.08-미래를지-v.41,9788978894760 
BN0000029996,해삼 : 인간과 공존하는 해양생물의 삶 ,"박흥식 , 장덕희 [공]지음",지성사,454.08-미래를지-v.48,9788978895163 
BN0000029995,포세이돈의 분노 : 지구 온난화와 바다 ,김웅서 지음,지성사,454.08-미래를지-v.11,9788978892124 
BN0000029993,파도는 어떻게 만들어지나요? ,오상호 지음,지성사,454.08-미래를지-v.30,9788978893466 
BN0000029992,"코딩, 해양 연구의 도우미 ",조홍연 지음,지성사,454.08-미래를지-v.47,9788978895132 
BN0000029991,"천리안, 하늘에서 바다를 연구하다 ","유주형 , 안재현 [공]지음",지성사,454.08-미래를지-v.38,9788978894579 
BN0000029989,작은 초능력자가 만드는 바이오수소 : 심해 미생물 연구 이야기 ,"강성균 , 이현숙 , 이정현 [공]지음",지성사,454.08-미래를지-v.35,9788978894470 
BN0000029988,(자연 습지가 있는) 한강하구 : 황해와 한강의 생명이 깃든 곳 ,"한동욱 , 김웅서 [공]지음",지성사,454.08-미래를지-v.17,9788978892407 
BN0000029987,"자연 속 야누스, 하구 : 강과 바다가 만나는 곳 ",조홍연 지음,지성사,454.08-미래를지-v.18,9788978892445 
BN0000029986,"(인도양에서 출발하는) 바다이름 여행 : 양, 해, 만, 그리고 해협 ",조홍연 글·그림,지성사,454.08-미래를지-v.26,9788978892858 
BN0000029985,울지 않는 달 : 이지은 소설 ,이지은 지음,창비,813.7-이지은울,9788936431518 
BN0000029855,폴리스 마마 ,한지승 지음,스토리가든,813.7-한지승폴,9791199031913 
BN0000029854,폭포 열기 : 김연덕 시집 ,김연덕 지음,문학과지성사,811.7-시인선문-v.607,9788932043203 
BN0000029853,지나가는 것들: 김지연 소설,김지연 지음,북다:,813.7-달달북다-v.06,9791170612049 
BN0000029851,여름의 힌트와 거위들 : 배수연 시집 ,배수연 지음,문학과지성사,811.7-시인선문-v.609,9788932043289 
BN0000029849,시작법 : 차호지 시집 ,차호지 지음,문학과지성사,811.7-시인선문-v.605,9788932042923 
BN0000029848,시 보다 . 2024 ,박지일 외 지음,문학과지성사,811.7-시보다문-v.2024,9788932043227 
BN0000029846,"소설쓰기의 모든 것 . 5 , 고쳐쓰기 ",제임스 스콧 벨 지음 ; 김율희 옮김,다른,802.3-소설쓰다-v.5,9791156332176 
BN0000029844,"소설쓰기의 모든 것 . 3 , 인물, 감정, 시점 ",낸시 크레스 지음 ; 박미낭 옮김,다른,802.3-소설쓰다-v.3,9791156332152 
BN0000029837,빛처럼 비지처럼: 이선진 소설,이선진 지음,북다:,813.7-달달북다-v.05,9791170611943 
BN0000029835,봄이 오면 녹는 ,"성혜령 , 이서수 , 전하영 [공]지음",다람,813.7-성혜령봄,9791193646052 
BN0000029831,뱅상 식탁 : 설재인 장편소설 ,설재인 지음,북다:,813.7-설재인뱅,9791170612179 
BN0000029826,로아 : 최정나 소설 ,최정나 지음,작가정신,813.7-최정나로,9791160263534 
BN0000029817,버림받은 마녀 ,세레나 발렌티노 지음 ; 김지혜 옮김,라곰,843.6-발렌티디-v.3,9791196453138 
BN0000029816,말레피센트 ,세레나 발렌티노 지음 ; 주정자 옮김,라곰,843.6-발렌티디-v.4,9791189686000 
BN0000029815,개를 훔친 이웃집 여자 ,세레나 발렌티노 지음 ; 정다은 옮김,라곰,843.6-발렌티디-v.6,9791189686307 
BN0000015000,가짜 엄마 ,세레나 발렌티노 지음 ; 김지혜 옮김,라곰,843.6-발렌티디-v.5,9791189686055 
BN0000014998,"명령에 따랐을 뿐!? : 복종하는 뇌, 저항하는 뇌 ",에밀리 A. 캐스파 지음 ; 이성민 옮김,동아시아,511.1813-캐스파명,9788962626421 
BN0000014989,팔려 가는 발발이 ,"김우철 , 주요섭 , 홍효민 외 지음 ; 겨레아동문학연구회 엮음 ; 신가영 그림",보리,아 810.82-겨레아보-v.3,9788984280038 
BN0000014972,왜 폭력을 쓰면 안되나요? ,조지혜 지음 ; 천필연 그림,참돌어린이,아 082-왜안되참-v.21,9788997592029 
BN0000014970,왜 인사 안 하면 안 되나요? ,이이리 지음 ; 천필연 그림,참돌어린이,아 082-왜안되참-v.19,9788997592302 
BN0000014969,왜 음악 공부 안 하면 안 되나요? ,김아로미 지음 ; 안경희 그림,참돌어린이,아 082-왜안되참-v.18,9791158280062 
BN0000014967,왜 영어 공부 안 하면 안 되나요? ,손민지 지음 ; 전정화 그림,참돌어린이,아 082-왜안되참-v.16,9788997592371 
BN0000014964,왜 아마존이 파괴되면 안 되나요? ,이아연 지음 ; 손진주 그림,참돌어린이,아 082-왜안되참-v.13,9788997592043 
BN0000014962,왜 생명을 경시하면 안 되나요? ,정누리 지음 ; 손명자 그림,참돌어린이,아 082-왜안되참-v.11,9788997592449 
BN0000014961,왜 사회 공부 안 하면 안 되나요? ,정누리 지음 ; 유명희 그림,참돌어린이,아 082-왜안되참-v.10,9788997592678 
BN0000014960,왜 사막이 넓어지면 안 되나요? ,김은희 지음 ; 손진주 그림,참돌어린이,아 082-왜안되참-v.9,9788997592180 
BN0000014958,왜 미술 공부 안 하면 안 되나요? ,채화영 지음 ; 김잔디 그림,참돌어린이,아 082-왜안되참-v.7,9788997592999 
BN0000014957,왜 동물들이 멸종되면 안 되나요? ,홍상하 지음 ; 손진주 그림,참돌어린이,아 082-왜안되참-v.6,9788997592142 
BN0000014952,(오싹하고 특별한) 반려생물 키우기 : 반려생물 13종 소개 ,강지혜 글 ; 강은옥 그림,상상의집:,아 527-강지혜반,9791155683736 
BN0000014950,엄마야 누나야 ,김소월 외 지음 ; 겨레아동문학연구회 엮음 ; 변정연 그림,보리,아 810.82-겨레아보-v.9,9788984280090 
BN0000014947,하루와 미요 ,임정자 원작,문학동네,아 812.8-어린이문-v.4,9788954658645 
BN0000014944,짜장면 로켓 발사 ,한윤섭 원작·각색,문학동네,아 812.8-어린이문-v.3,9788954655231 
BN0000014942,뽕뽕뽕 방귀쟁이 뽕 함마니 ,최기우 글,문학동네,아 812.8-어린이문-v.9,9788954682534 
BN0000014941,봄날의 곰 ,송미경 원작 ; 조선형 각색,문학동네,아 812.8-어린이문-v.8,9788954678209 
BN0000014938,어디만큼 왔냐 ,박인범 외 지음 ; 겨레아동문학연구회 엮음 ; 이우경 그림,보리,아 810.82-겨레아보-v.7,9788984280076 
BN0000014936,안전생존 119 ,배정진 글 ; 이경택 그림,예림당,아 372.42-배정진안,9788930271042 
BN0000014923,세 발 달린 황소 ,안회남 외 지음 ; 겨레아동문학연구회 엮음 ; 이억배 그림,보리,아 810.82-겨레아보-v.6,9788984280069 
BN0000014916,[6학년] (과학적이고 감성적인 한 가족의) 반려식물 키우기 : 반려식물 13종 소개 ,강지혜 글 ; 강은옥 그림,상상의집:,아 525.7-강지혜반,9791155683224 
BN0000014909,물딱총 ,임홍은 외 지음 ; 겨레아동문학연구회 엮음 ; 이형진 그림,보리,아 810.82-겨레아보-v.5,9788984280052 
BN0000014903,돼지 콧구멍 ,"이주홍 , 전식 , 최병화 외 지음 ; 겨레아동문학연구회 엮음 ; 김성민 그림",보리,아 810.82-겨레아보-v.2,9788984280021 
BN0000014901,눈뜨는 시절 ,"김요섭 , 이원수 , 황순원 외 지음 ; 겨레아동문학연구회 엮음 ; 이은천 그림",보리,아 810.82-겨레아보-v.8,9788984280083 
BN0000014898,날아다니는 사람 ,김유정 외 지음 ; 겨레아동문학연구회 엮음 ; 이경신 그림,보리,아 810.82-겨레아보-v.4,9788984280045 
BN0000014889,귀뚜라미와 나와 ,권태웅 외 지음 ; 겨레아동문학연구회 엮음 ; 최미숙 그림,보리,아 810.82-겨레아보-v.10,9788984280106 
BN0000014586,"한국사 읽는 어린이 : 역사학자 3인이 쓴 정통 한국사 . 2 , 고려 ","강석화 , 김정인 , 임기환 [공]글 ; 서영 그림",책읽는곰,아 911-강석화한-v.2,9791158362348 
BN0000014576,"(3,000년 아랍 역사 속을 달리는) 이슬람 버스 ",이희수 글 ; 한창수 그림,니케주니어:,아 918-이희수이,9788998062309 
BN0000014575,(종횡무진 동서양 역사 속을 달리는) 세계사 버스 ,이석희 글 ; 홍수진 그림,니케주니어:,아 909-이석희세,9788998062293 
BN0000014563,위대한 발견의 진실 ,소피 라무뢰 글 ; 벵자맹 르포르 그림 ; 이지원 옮김,풀과바람,아 082-지식나풀-v.25,9788983896087 
BN0000014552,"글을 쓰자, 세상을 바꾸는 글을 쓰자 : 허균과 벗들의 홍길동전 이야기 ",정은숙 글 ; 김선배 그림,토토북,아 911-역사속토-v.3,9788964962817 
BN0000014551,귀명창과 사라진 소리꾼 : 신재효와 진채선의 판소리 이야기 ,한정영 글 ; 이희은 그림,토토북,아 911-역사속토-v.2,9788964962763 
BN0000014544,지리학의 ABC ,"크리스 페리 , 애덤, 매튜스 [공]지음 ; 정회성 옮김",책세상어린이,아 408-키즈유책-v.37,9791159319945 
BN0000014533,"(초등학생을 위한) 친절한 한국사 . 5 , 8·15 광복부터 촛불 혁명가지 ",노하선 글 ; 우디 크리에이티브스 그림,하늘을나는교실,아 911-노하선친-v.5,9788994757599 
BN0000014513,딱 한마디 세계사 : 세계 역사를 움직인 말 ,예영 글 ; 이나래 그림,천개의바람,아 082-천개의천-v.16,9791165731854 
BN0000014489,나라를 구한 여성 독립운동가 이야기 ,울산창작동화 실바람문학회 글 ; 유재엽 그림,가문비어린이,아 082-진짜진가-v.29,9788969026026 
BN0000014487,탐라순력도 따라 제주 역사 여행 ,김은하 글 ; 김홍모 그림,스콜라:,아 082-지식의스-v.9,9788962479737 
BN0000014485,"강물아, 흘러 흘러 어디로 가니? : 강에서 배우는 문명과 역사 ",신현수 글 ; 심가인 그림,논장,아 082-지식은논-v.14,9788984142787 
BN0000014482,"조선, 무엇이든 법대로 : 법치국가 조선의 별별 법 탐험 ","윤지선 , 이정환 [공]글 ; 리노 그림",마음이음,아 082-지식잇마-v.18,9791192183824 
BN0000014457,"(전국역사교사모임 선생님이 쓴) 제대로 한국사 . 9 , 식민지를 넘어 해방의 시대로 ","전국역사교사모임 , 박선희 [공]지음 ; 서른 외 그림",휴먼어린이,아 911-전국역제-v.9,9788965914143 
BN0000014456,"(전국역사교사모임 선생님이 쓴) 제대로 한국사 . 8 , 조선이 품은 근대 국가의 꿈 ","전국역사교사모임 , 박선희 [공]지음 ; 서른 외 그림",휴먼어린이,아 911-전국역제-v.8,9788965914136 
BN0000014455,"(전국역사교사모임 선생님이 쓴) 제대로 한국사 . 7 , 새 세상을 열어 가는 조선 사람들 ","전국역사교사모임 , 박선희 [공]지음 ; 서른 외 그림",휴먼어린이,아 911-전국역제-v.7,9788965914129 
BN0000014454,"(전국역사교사모임 선생님이 쓴) 제대로 한국사 . 6 , 조선 사람들, 전란을 극복하다 ","전국역사교사모임 , 박선희 [공]지음 ; 서른 외 그림",휴먼어린이,아 911-전국역제-v.6,9788965914112 
BN0000014453,"(전국역사교사모임 선생님이 쓴) 제대로 한국사 . 5 , 새 나라 조선을 세우다 ","전국역사교사모임 , 박선희 [공]지음 ; 서른 외 그림",휴먼어린이,아 911-전국역제-v.5,9788965914105 
BN0000014452,"(전국역사교사모임 선생님이 쓴) 제대로 한국사 . 4 , 세계 속의 코리아 ","전국역사교사모임 , 박선희 [공]지음 ; 서른 외 그림",휴먼어린이,아 911-전국역제-v.4,9788965914099 
BN0000014451,"(전국역사교사모임 선생님이 쓴) 제대로 한국사 . 3 , 민족을 다시 통일한 고려 ","전국역사교사모임 , 박선희 [공]지음 ; 서른 외 그림",휴먼어린이,아 911-전국역제-v.3,9788965914082 
BN0000014416,"(인물로 보고 배우는) 세계사 . 5 , 현대 ",드림나무 글 ; 이정선 그림,삼성당,아 909-드림나세-v.5,9788914019899 
BN0000014415,"(인물로 보고 배우는) 세계사 . 4 , 근대 19세기 ",드림나무 글 ; 이정선 그림,삼성당,아 909-드림나세-v.4,9788914019882 
BN0000014414,"(인물로 보고 배우는) 세계사 . 3 , 17세기~18세기 ",드림나무 글 ; 이정선 그림,삼성당,아 909-드림나세-v.3,9788914019868 
BN0000014413,"(인물로 보고 배우는) 세계사 . 2 , 5세기~16세기 ",드림나무 글 ; 이정선 그림,삼성당,아 909-드림나세-v.2,9788914019851 
BN0000014397,"(이현세) 만화 세계사 넓게 보기 . 8 , 르네상스와 산업 혁명 ","강주현 , 전영신 [공]글 ; 이현세 만화",녹색지팡이,아 909-만화세녹-v.8,9788991481855 
BN0000014396,"(이현세) 만화 세계사 넓게 보기 . 7 , 아시아의 전통 사회의 성장 ","강주현 , 전영신 [공]글 ; 이현세 만화",녹색지팡이,아 909-만화세녹-v.7,9788991481640 
BN0000014395,"(이현세) 만화 세계사 넓게 보기 . 6 , 아시아의 확대와 동서 교류 ","강주현 , 전영신 [공]글 ; 이현세 만화",녹색지팡이,아 909-만화세녹-v.6,9788991481633 
BN0000014385,"(이현세) 만화 세계사 넓게 보기 . 10 , 유럽 민족 국가와 시민 사회 ","강주현 , 전영신 글 ; 이현세 만화",녹색지팡이,아 909-만화세녹-v.10,9788994780023 
BN0000014372,런던 ,이양훈 글 ; 정유진 그림,성림주니어북:,아 980.24-이양훈세-v.2,9791188762897 
BN0000014370,알려 줘 충청북도 위인 ,"김은빈 글 ; 윤정미 , 조윤주 [공]그림",아르볼:,아 991.1-우리고아-v.9,9791162040157 
BN0000014369,알려 줘 충청남도 위인! ,"지호진 글 ; 이은주 , 이해정 [공]그림",아르볼:,아 991.1-우리고아-v.8,9791162040140 
BN0000014361,알려 줘 강원도 위인! ,"강로사 글 ; 윤정미 , 이해정 [공]그림",아르볼:,아 991.1-우리고아-v.14,9791162040256 
BN0000014359,알려줘 경기도 위인! ,강로사 글 ; 이수영 그림,아르볼:,아 991.1-우리고아-v.12,9791162040218 
BN0000014358,알려줘 서울 위인! ,"이정주 글 ; 이은주 , 조윤주 [공]그림",아르볼:,아 991.1-우리고아-v.11,9791162040201 
BN0000014313,조선은 이웃나라와 어떻게 지냈나요? ,송찬섭 글 ; 문종인 그림,다섯수레,아 030-왜그런다-v.47,9788974784263 
BN0000014312,조선은 어떻게 세계 최대 기록 문화유산을 남겼나요? ,송찬섭 글 ; 문종인 그림,다섯수레,아 030-왜그런다-v.46,9788974784133 
BN0000014308,발해를 왜 해동성국이라고 했나요? ,송기호 지음,다섯수레,아 030-왜그런다-v.40,9788974782900 
BN0000014302,코리아라는 이름은 어떻게 세계에 알려졌나요? ,"박종진 , 전경숙 [공]글 ; 문종인 그림",다섯수레,아 030-왜그런다-v.43,9788974784430 
BN0000014282,(일제 강점기 최초의 여성 노동 운동가) 강주룡 ,김미승 글 ; 클로이 그림,청어람주니어,아 990.94-여성인청-v.7,9791186419960 
BN0000014279,(조선 최초의 여성 여행가) 김금원 ,강민경 글 ; 파이 그림,청어람주니어,아 990.94-여성인청-v.4,9791186419915 
BN0000014278,(조선 최초의 여중군자) 장계향 ,김경옥 글 ; 안혜란 그림,청어람주니어,아 990.94-여성인청-v.3,9791186419892 
BN0000014277,(조선 최초의 여성 경영인) 강빈 ,박지숙 글 ; 박미화 그림,청어람주니어,아 990.94-여성인청-v.2,9791186419885 
BN0000014276,(조선 최초의 수렴청정) 정희왕후 ,이규희 글 ; 이로우 그림,청어람주니어,아 990.94-여성인청-v.1,9791186419878 
BN0000014242,(다른 세계와 만나 더 커진) 중국 ,"박선희 , 이성호 [공]글 ; 한용욱 그림",상상정원,아 909-박선희알-v.9,9791192554044 
BN0000014241,(크리스트교로 하나 된) 중세 유럽 ,"박선희 , 한용욱 [공]글 ; 이성호 그림",상상정원,아 909-박선희알-v.8,9791192554037 
BN0000014240,(세상의 다리가 된) 이슬람 제국 ,"박선희 , 이성호 [공]글 ; 허구 그림",상상정원,아 909-박선희알-v.7,9791192554020 
BN0000014239,(동아시아를 아우른) 수·당 제국 ,"박선희 , 이성호 [공]글 ; 권문희 그림",상상정원,아 909-박선희알-v.6,9791192554006 
BN0000014238,(불교와 힌두교가 일어난) 인도 ,"박선희 , 이성호 [공]글 ; 안재선 그림",상상정원,아 909-박선희알-v.4,9791197470387 
BN0000014237,(하나의 중국을 만든) 진·한 제국 ,"박선희 , 이성호 [공]글 ; 김호랑 그림",상상정원,아 909-박선희알-v.3,9791197470370 
BN0000014236,(문명의 아침을 연) 오리엔트 ,"박선희 , 이성호 [공]글 ; 정인성 , 천복주 [공]그림",상상정원,아 909-박선희알-v.2,9791197470363 
BN0000014235,(동굴에서 들판으로) 인류의 첫걸음 ,"박선희 , 이성호 [공]글 ; 원유미 그림",상상정원,아 909-박선희알-v.1,9791197470356 
BN0000014207,(벽을 넘어 세계의 중심에 선) 알파걸 파워 ,전현정 글 ; 홍하나 그림,파란자전거,아 308-슬기로파-v.4,9791192308265 
BN0000014201,상품 속 세계사 ,심중수 글 ; 이현성 그림,봄볕,아 082-세계로봄-v.9,9791186979983 
BN0000014076,문화유산을 지키는 사람들 : 오늘 만나는 우리 역사 ,이정화 글 ; 송진욱 그림,책속물고기,아 082-생각을책-v.12,9791186670699 
BN0000014064,김대건 : 우리나라 최초의 신부 ,전현정 글 ; 홍선주 그림,비룡소,아 990.8-새싹인비-v.63,9788949129433 
BN0000014047,이호왕 ,이영서 글 ; 김홍모 그림,비룡소,아 990.8-새싹인비-v.48,9788949129280 
BN0000014032,루이 브라유 ,테사 포터 글 ; 헬레나 오웬 그림 ; 이다희 옮김,비룡소,아 990.8-새싹인비-v.34,9788949129143 
BN0000014030,알렉산더 벨 ,에마 피시엘 글 ; 레슬리 뷔시커 그림 ; 이원경 옮김,비룡소,아 990.8-새싹인비-v.32,9788949129129 
